chiefcomplaint,total_cases_F,total_cases_M,deaths_F,deaths_M,survivors_F,survivors_M,mortality_rate_F,mortality_rate_M
"Facial injury, Syncope, Transfer",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
"Facial injury, Transfer",0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0
"Facial injury, Unsteady gait",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
"Facial injury, Wrist injury",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
"Facial injury, s/p Fall",75.0,26.0,0.0,0.0,75.0,26.0,0.0,0.0
"Facial injury, s/p Fall, Transfer",6.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0
"Facial injury, s/p Fall, Unsteady gait",0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
Facial itching,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Facial laceration,10.0,32.0,0.0,0.0,10.0,32.0,0.0,0.0
"Facial laceration, Head injury",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Facial laceration, Head lac",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
"Facial laceration, Laceration",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
"Facial laceration, R Hand laceration, s/p Fall",0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0
"Facial laceration, R Thumb injury, Syncope",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
"Facial laceration, Syncope",2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
"Facial laceration, Transfer",1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0
"Facial laceration, s/p Fall",19.0,12.0,0.0,0.0,19.0,12.0,0.0,0.0
"Facial laceration, s/p Fall, Transfer",4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
"Facial laceration, s/p Fall, Unsteady gait",0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
Facial numbness,354.0,114.0,5.0,0.0,349.0,114.0,1.4000000000000001,0.0
"Facial numbness, ABNL MRI",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
"Facial numbness, ABNORMAL TONGUE SENSATION",8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
"Facial numbness, Anxiety",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
"Facial numbness, Arm numbness",1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
"Facial numbness, Chest pain",0.0,17.0,0.0,1.0,0.0,16.0,0.0,5.8999999999999995
"Facial numbness, Facial pain",0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0
"Facial numbness, Facial swelling",4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
"Facial numbness, Hand numbness",15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
"Facial numbness, Headache",56.0,9.0,0.0,0.0,56.0,9.0,0.0,0.0
"Facial numbness, Headache, Hypertension",0.0,12.0,0.0,0.0,0.0,12.0,0.0,0.0
"Facial numbness, Headache, Leg numbness",0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
"Facial numbness, Headache, N/V",10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
"Facial numbness, Headache, Nausea",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
"Facial numbness, Headache, Transfer",4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
"Facial numbness, Headache, Visual changes",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
"Facial numbness, Hip pain",3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
"Facial numbness, Hypertension",4.0,7.0,0.0,0.0,4.0,7.0,0.0,0.0
"Facial numbness, L Arm numbness",1.0,5.0,0.0,0.0,1.0,5.0,0.0,0.0
"Facial numbness, L Arm numbness, Numbness",17.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0
"Facial numbness, L Arm pain",144.0,0.0,3.0,0.0,141.0,0.0,2.1,0.0
"Facial numbness, L Eye eval",2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
"Facial numbness, L Facial droop",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Facial numbness, L Facial pain, R Facial pain",3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
"Facial numbness, L Foot numbness",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
"Facial numbness, L Hand numbness",13.0,1.0,0.0,0.0,13.0,1.0,0.0,0.0
"Facial numbness, L Numbness",49.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0
"Facial numbness, L Numbness, Headache",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Facial numbness, L Shoulder pain",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
"Facial numbness, L Weakness",10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
"Facial numbness, LIP SWELLING/NUMBNESS",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
"Facial numbness, Leg numbness",3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
"Facial numbness, Leg weakness",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Facial numbness, Palpitations",11.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
"Facial numbness, R Arm numbness",16.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0
"Facial numbness, R Ear pain",9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
"Facial numbness, R Hand numbness",1.0,7.0,0.0,0.0,1.0,7.0,0.0,0.0
"Facial numbness, R Leg numbness",2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
"Facial numbness, R Neck pain",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
"Facial numbness, R Numbness",4.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0
"Facial numbness, RESOLVED",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Facial numbness, Sinus pain",2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
"Facial numbness, Transfer",7.0,3.0,0.0,0.0,7.0,3.0,0.0,0.0
"Facial numbness, Visual changes, Transfer",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
"Facial numbness, Weakness",7.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0
Facial pain,250.0,414.0,1.0,5.0,249.0,409.0,0.4,1.2
"Facial pain, Assault",0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0
"Facial pain, Breast pain",6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
"Facial pain, Dental pain",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Facial pain, Facial injury",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Facial pain, Facial swelling",64.0,8.0,0.0,0.0,64.0,8.0,0.0,0.0
"Facial pain, Fever",11.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
"Facial pain, Fever, Transfer",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Facial pain, Headache",8.0,7.0,0.0,0.0,8.0,7.0,0.0,0.0
"Facial pain, Headache, R Ear pain",4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
"Facial pain, Hip pain, s/p Fall",7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
"Facial pain, Knee pain, s/p Fall",0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0
"Facial pain, L Facial swelling",1.0,5.0,0.0,0.0,1.0,5.0,0.0,0.0
"Facial pain, L Knee pain, s/p Fall",18.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0
"Facial pain, L Leg pain, s/p Fall",4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
"Facial pain, L Wrist pain, MVC",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Facial pain, Lip swelling",2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
"Facial pain, MVC",1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0
"Facial pain, Mouth pain",9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
"Facial pain, R Eye pain",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
"Facial pain, R Facial swelling",2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
"Facial pain, Rash",4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
"Facial pain, Seizure",0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
"Facial pain, Transfer",3.0,10.0,0.0,1.0,3.0,9.0,0.0,10.0
"Facial pain, Visual changes",3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
"Facial pain, s/p Fall",35.0,51.0,1.0,0.0,34.0,51.0,2.9000000000000004,0.0
Facial swelling,726.0,527.0,6.0,7.0,720.0,520.0,0.8,1.3
"Facial swelling, Abd pain",0.0,15.0,0.0,1.0,0.0,14.0,0.0,6.7
"Facial swelling, Abscess",3.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0
"Facial swelling, Abscess, Dental pain",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Facial swelling, Abscess, Dental pain, Transfer",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Facial swelling, Abscess, Transfer",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Facial swelling, Allergic reaction",42.0,8.0,0.0,0.0,42.0,8.0,0.0,0.0
"Facial swelling, Angioedema, Transfer",5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
"Facial swelling, Anxiety",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
"Facial swelling, B Ear pain",17.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0
"Facial swelling, Cellulitis",2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
"Facial swelling, Cellulitis, Transfer",1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
"Facial swelling, Confusion",0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
"Facial swelling, Cough",6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
"Facial swelling, Dental pain",14.0,4.0,0.0,0.0,14.0,4.0,0.0,0.0
"Facial swelling, Dyspnea",21.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0
"Facial swelling, Dyspnea on exertion",0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
"Facial swelling, Ecchymosis",4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
"Facial swelling, Facial pain",0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0
"Facial swelling, Fever",21.0,19.0,1.0,0.0,20.0,19.0,4.8,0.0
"Facial swelling, Fever, L Ear pain",0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
"Facial swelling, Finger swelling",2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
"Facial swelling, Hand swelling",3.0,13.0,0.0,0.0,3.0,13.0,0.0,0.0
"Facial swelling, Hand swelling, Arm pain",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Facial swelling, Headache",8.0,2.0,0.0,0.0,8.0,2.0,0.0,0.0
"Facial swelling, Headache, Hypertension, Neck pain",4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
"Facial swelling, Headache, R Eye pain",12.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
"Facial swelling, Headache, Sore throat",2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
"Facial swelling, Hives",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Facial swelling, ILI",2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0
"Facial swelling, Jaw pain",3.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0
"Facial swelling, L Ear pain",3.0,10.0,0.0,0.0,3.0,10.0,0.0,0.0
"Facial swelling, L Ear pain, Transfer",0.0,2.0,0.0,2.0,0.0,0.0,0.0,100.0
"Facial swelling, L Eye pain",0.0,14.0,0.0,0.0,0.0,14.0,0.0,0.0
"Facial swelling, L Eye swelling",2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
"Facial swelling, L Facial numbness",3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
"Facial swelling, L Facial pain",9.0,0.0,1.0,0.0,8.0,0.0,11.1,0.0
"Facial swelling, L Facial swelling",0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0
"Facial swelling, L Hand swelling, Leg pain",0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
"Facial swelling, L Jaw pain",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
"Facial swelling, LEFT JAW PAIN",0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
"Facial swelling, LOWER LIP SWELLING",0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0
"Facial swelling, Leg swelling",2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0
"Facial swelling, Lip swelling",9.0,5.0,0.0,0.0,9.0,5.0,0.0,0.0
"Facial swelling, Lower abdominal pain, N/V",8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
"Facial swelling, MOUTH SORE",15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
"Facial swelling, MVC, R Eye swelling",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Facial swelling, Mouth pain",15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
"Facial swelling, Neck pain",14.0,12.0,0.0,0.0,14.0,12.0,0.0,0.0
"Facial swelling, Neck pain, Transfer",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Facial swelling, Neck swelling",40.0,5.0,1.0,0.0,39.0,5.0,2.5,0.0
"Facial swelling, Neck swelling, Transfer",0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0
"Facial swelling, Nose pain",17.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0
"Facial swelling, Palpitations",0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
"Facial swelling, Paresthesia",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Facial swelling, Presyncope",2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
"Facial swelling, QUESTION ALLERGIC REACTION",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Facial swelling, R Arm swelling",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Facial swelling, R Chest pain",10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
"Facial swelling, R Ear pain",0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0
"Facial swelling, R Ear pain, Fever",15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
"Facial swelling, R Eye pain",4.0,9.0,0.0,0.0,4.0,9.0,0.0,0.0
"Facial swelling, R Eye pain, R Numbness",7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
"Facial swelling, R Facial droop",2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
"Facial swelling, R Facial pain",1.0,5.0,0.0,0.0,1.0,5.0,0.0,0.0
"Facial swelling, R Foot pain",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Facial swelling, R Foot swelling, SI",4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
"Facial swelling, R Thumb pain",9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
"Facial swelling, Rash",23.0,10.0,0.0,0.0,23.0,10.0,0.0,0.0
"Facial swelling, SI",2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
"Facial swelling, Scrotal pain",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
"Facial swelling, Seizure",3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
"Facial swelling, Sinus pain",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Facial swelling, Sore throat",63.0,109.0,0.0,0.0,63.0,109.0,0.0,0.0
"Facial swelling, Sunburn",0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0
"Facial swelling, Syncope",3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
"Facial swelling, THROAT SWELLING",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Facial swelling, Tachycardia, Transfer",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
"Facial swelling, Throat foreign body sensation",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Facial swelling, Tongue swelling",19.0,0.0,1.0,0.0,18.0,0.0,5.3,0.0
"Facial swelling, Transfer",21.0,22.0,0.0,0.0,21.0,22.0,0.0,0.0
"Facial swelling, VS ABSCESS",2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
"Facial swelling, Vaginal pain",4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
"Facial swelling, Weakness",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
"Facial swelling, Wound eval",14.0,18.0,0.0,0.0,14.0,18.0,0.0,0.0
"Facial swelling, s/p Fall",21.0,33.0,0.0,0.0,21.0,33.0,0.0,0.0
"Facial swelling, s/p Fall, SDH",1.0,4.0,0.0,0.0,1.0,4.0,0.0,0.0
"Facial swelling, s/p Fall, Seizure",0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
"Facial swelling, s/p Fall, Transfer",0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0
Failure to thrive,1186.0,745.0,32.0,48.0,1154.0,697.0,2.7,6.4
"Failure to thrive, AAA",4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
"Failure to thrive, Abd pain",0.0,7.0,0.0,2.0,0.0,5.0,0.0,28.599999999999998
"Failure to thrive, Altered mental status",4.0,0.0,1.0,0.0,3.0,0.0,25.0,0.0
"Failure to thrive, Anorexia, Dyspnea",13.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0
"Failure to thrive, B Leg pain",4.0,0.0,1.0,0.0,3.0,0.0,25.0,0.0
"Failure to thrive, B Leg swelling",0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0
"Failure to thrive, Back pain",0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
"Failure to thrive, Coccyx pain",3.0,0.0,1.0,0.0,2.0,0.0,33.300000000000004,0.0
"Failure to thrive, Confusion",4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
"Failure to thrive, Cough",0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
"Failure to thrive, Decreased PO intake",10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
"Failure to thrive, Depression",4.0,5.0,0.0,0.0,4.0,5.0,0.0,0.0
"Failure to thrive, Diarrhea",26.0,0.0,4.0,0.0,22.0,0.0,15.4,0.0
"Failure to thrive, Difficulty swallowing",2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
"Failure to thrive, ETOH",0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
"Failure to thrive, Fatigue",0.0,2.0,0.0,1.0,0.0,1.0,0.0,50.0
"Failure to thrive, Fatigue, Weakness",1.0,2.0,1.0,0.0,0.0,2.0,100.0,0.0
"Failure to thrive, Fever",13.0,18.0,0.0,4.0,13.0,14.0,0.0,22.2
"Failure to thrive, Hallucinations",7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
"Failure to thrive, Headache",0.0,6.0,0.0,1.0,0.0,5.0,0.0,16.7
"Failure to thrive, Hyperglycemia",3.0,17.0,2.0,0.0,1.0,17.0,66.7,0.0
"Failure to thrive, Hyperglycemia, Weakness",2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
"Failure to thrive, Hypokalemia",14.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0
"Failure to thrive, Hypotension",14.0,29.0,0.0,0.0,14.0,29.0,0.0,0.0
"Failure to thrive, Hypotension, Weakness",0.0,1.0,0.0,1.0,0.0,0.0,0.0,100.0
"Failure to thrive, ILI, Weakness",0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
"Failure to thrive, Jaundice",0.0,4.0,0.0,1.0,0.0,3.0,0.0,25.0
"Failure to thrive, L Shoulder pain",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Failure to thrive, Leg swelling",7.0,31.0,1.0,0.0,6.0,31.0,14.299999999999999,0.0
"Failure to thrive, Lethargy",46.0,4.0,4.0,0.0,42.0,4.0,8.7,0.0
"Failure to thrive, Lethargy, Respiratory distress, Weakness",5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
"Failure to thrive, Lethargy, Weakness",8.0,6.0,0.0,1.0,8.0,5.0,0.0,16.7
"Failure to thrive, Melena",0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0
"Failure to thrive, Mouth pain",0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0
"Failure to thrive, N/V",34.0,28.0,1.0,1.0,33.0,27.0,2.9000000000000004,3.5999999999999996
"Failure to thrive, Nausea",4.0,13.0,0.0,0.0,4.0,13.0,0.0,0.0
"Failure to thrive, Nausea, Transfer",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
"Failure to thrive, Neck pain",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
"Failure to thrive, P",0.0,16.0,0.0,0.0,0.0,16.0,0.0,0.0
"Failure to thrive, PICC line eval",0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
"Failure to thrive, PSYCH EVAL",4.0,5.0,0.0,0.0,4.0,5.0,0.0,0.0
"Failure to thrive, Pain",2.0,9.0,0.0,1.0,2.0,8.0,0.0,11.1
"Failure to thrive, Pelvic pain",8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
"Failure to thrive, Presyncope",10.0,5.0,0.0,0.0,10.0,5.0,0.0,0.0
"Failure to thrive, Psychosis",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
"Failure to thrive, R Foot pain",0.0,17.0,0.0,0.0,0.0,17.0,0.0,0.0
"Failure to thrive, R Hip pain",0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0
"Failure to thrive, R Knee pain",0.0,1.0,0.0,1.0,0.0,0.0,0.0,100.0
"Failure to thrive, R Neck pain",3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
"Failure to thrive, R Pain, Weakness",6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
"Failure to thrive, Rash",0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0
"Failure to thrive, SI",3.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0
"Failure to thrive, Syncope",0.0,7.0,0.0,1.0,0.0,6.0,0.0,14.299999999999999
"Failure to thrive, Syncope, Weakness",13.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0
"Failure to thrive, Tachycardia",13.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0
"Failure to thrive, Tachycardia, Weakness",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Failure to thrive, Transfer",16.0,22.0,6.0,2.0,10.0,20.0,37.5,9.1
"Failure to thrive, Tremor",1.0,25.0,0.0,0.0,1.0,25.0,0.0,0.0
"Failure to thrive, Unable to ambulate",0.0,11.0,0.0,0.0,0.0,11.0,0.0,0.0
"Failure to thrive, Unable to ambulate, Weakness",0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0
"Failure to thrive, Urinary retention",2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
"Failure to thrive, Vomiting",0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0
"Failure to thrive, Weakness",169.0,117.0,8.0,11.0,161.0,106.0,4.7,9.4
"Failure to thrive, Wound eval",2.0,31.0,0.0,0.0,2.0,31.0,0.0,0.0
"Failure to thrive, ___",4.0,3.0,0.0,0.0,4.0,3.0,0.0,0.0
"Failure to thrive, gtube eval",2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
"Failure to thrive, n/v/d",0.0,15.0,0.0,1.0,0.0,14.0,0.0,6.7
"Failure to thrive, n/v/d, Weakness",0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0
"Failure to thrive, s/p Fall",36.0,9.0,1.0,1.0,35.0,8.0,2.8000000000000003,11.1
"Failure to thrive, s/p Fall, Weakness",12.0,3.0,0.0,0.0,12.0,3.0,0.0,0.0
Fall,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Fall, Femur Fx",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Fatigue,798.0,560.0,5.0,9.0,793.0,551.0,0.6,1.6
"Fatigue, Abnormal MRI",7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
"Fatigue, Abnormal labs",7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
"Fatigue, Abnormal labs, Difficulty breathing",0.0,14.0,0.0,0.0,0.0,14.0,0.0,0.0
"Fatigue, Altered mental status",0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0
"Fatigue, Anemia",0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
"Fatigue, Anemia, Abnormal labs",0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0
"Fatigue, B Leg pain",0.0,11.0,0.0,0.0,0.0,11.0,0.0,0.0
"Fatigue, BRBPR",23.0,0.0,2.0,0.0,21.0,0.0,8.7,0.0
"Fatigue, Back pain",0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0
"Fatigue, Body aches",0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0
"Fatigue, Chest pain",18.0,3.0,0.0,0.0,18.0,3.0,0.0,0.0
"Fatigue, Chest pain, Rectal pain",0.0,27.0,0.0,1.0,0.0,26.0,0.0,3.6999999999999997
"Fatigue, Confusion",3.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0
"Fatigue, Cough",17.0,0.0,1.0,0.0,16.0,0.0,5.8999999999999995,0.0
"Fatigue, Dehydration",5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
"Fatigue, Depression",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Fatigue, Dizziness",15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
"Fatigue, Dizziness, Back pain",0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
"Fatigue, Dyspnea",34.0,10.0,0.0,0.0,34.0,10.0,0.0,0.0
"Fatigue, Dyspnea, Diarrhea, RLQ abdominal pain",0.0,17.0,0.0,0.0,0.0,17.0,0.0,0.0
"Fatigue, FEVER SOB",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Fatigue, Fever",268.0,77.0,0.0,0.0,268.0,77.0,0.0,0.0
"Fatigue, Fever, Headache",4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
"Fatigue, Fever, Headache, Rash",2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
"Fatigue, Fever, ILI, Sore throat",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Fatigue, Fever, Nausea",3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
"Fatigue, Fever, Neutropenia, Weakness",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Fatigue, Fever, Rash",5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
"Fatigue, Fever, Seizure",8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
"Fatigue, Fever, Urinary incontinence",0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0
"Fatigue, Fever, Weakness",0.0,15.0,0.0,1.0,0.0,14.0,0.0,6.7
"Fatigue, Flank pain",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
"Fatigue, Head injury",4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
"Fatigue, Headache",43.0,5.0,0.0,0.0,43.0,5.0,0.0,0.0
"Fatigue, Headache, Hypertension",2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
"Fatigue, Headache, L Leg pain",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
"Fatigue, Headache, Palpitations, Weakness",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
