chiefcomplaint,count
INCREASED WEAKNESS WITH TREMORS,6
HEAD INJURY MULT FALLS,6
FEELS UNSELF,6
"s/p Fall, HEMATOMA",6
"Abd pain, Syncope, Transfer",6
"Abd pain, L Hand swelling, L Eye swelling",6
"Hyperglycemia, L Leg swelling",6
"B Pedal edema, Dyspnea on exertion",6
"ABD DISTENSION, Chest pain, Elbow pain, Headache",6
"Chest pain, Dyspnea, Seizure",6
NAUSEA/LOW SAT ,6
"WOUND EVAL,",6
"Abnormal labs, Unsteady gait",6
"Dyspnea on exertion, Syncope",6
L FACIAL PARALYSIS,6
"BRAIN METS, Transfer",6
"ETOH, Laceration, Head injury",6
RLE BLEEDING,6
"R Calf pain, Hypertension",6
SPLENIC LAC,6
"Dysuria, Urinary retention, Lower abdominal pain",6
DOUBLE VISION/VERTIGO,6
"Cellulitis, R Hand swelling, Transfer",6
ELEV CREATININE,6
"Dysuria, UNABLE TO URINATE",6
?UROSEPSIS,6
thirsty,6
Lower leg laceration,6
"Cat bite, L Arm swelling",6
"Psych, SI/HI",6
"Decreased PO intake, Dizziness, n/v/d, Urinary frequency",6
"Diarrhea, Urinary retention",6
R ELBOW PAIN S/P FALL,6
"AGGITATED, PSYCH EVAL",6
"Fever, SEPSIS",6
"Fever, L Flank pain, N/V",6
FACIAL DROOP/CP,6
R MOUTH PAIN,6
"Seizure, TACHY",6
FEET EVAL,6
"LIGHTHEADED,HYPOTENSION",6
L INDEX FINGER LACERATION,6
"Vision changes, Lightheaded",6
"Bradycardia, Hypoglycemia",6
"Transfer, Pulseless foot",6
PORT ASSESSMENT,6
"Weakness, Vomiting, Dizziness",6
"AGGRESSIVE, Altered mental status",6
EPIGASTRIC AND JAW PAIN,6
WORSENING PAIN/DIZZINESS,6
DIZZY/LIGHTHEADED/DOE,6
"L Hip pain, Rib pain, s/p Fall",6
"L Foot pain, Laceration",6
"R Eye pain, Fever",6
"Palpitations, Presyncope, Chest pain",6
"s/p Fall, Lower back pain, Knee pain",6
"Paranoid delusion, Psychiatric hold",6
"Chest pain, Hypertension, Vomiting",6
ALTERED MENTAL STATUS ,6
"Headache, TIA S/S",6
"MEDICATION REACTION, Tremor",6
"Dog bite, R Thumb laceration",6
MULT ISSUES,6
CONCERN FOR STEMI,6
"Dyspnea, Hypoxia, Pneumonia",6
ACCIDENTAL SOAP INGESTION,6
"R Ear pain, BUG INFESTATION",6
FEVER/LEG WOUNDS,6
"ETOH, Smoke inhalation",6
"MVC, Visual changes",6
"Back pain, Vomiting",6
"Headache, Unsteady gait, MVC",6
"Transfer, Headache, Visual changes",6
"HIP FRACTURE, Transfer",6
ASITATED,6
"Transfer, DVT",6
"Insect bite, L Foot swelling",6
DIZZY/FATIGUE,6
"L Hip pain, L Leg pain, Lower back pain",6
"s/p Fall, L Thumb injury",6
"Syncope, FX HUMERUS",6
"Abd pain, Nausea, Presyncope",6
"LACERATION/PUNCTURE, S/P BMT",6
FLUID EXPOSURE,6
"BRBPR, Hives",6
CROHNS/ELEVATED WBC,6
? ALLERGIC RX,6
"Cellulitis, R Leg swelling",6
LEG DISCOLORATION,6
"Chest pain, Leg swelling, Headache",6
"R Foot swelling, Transfer",6
"R Calf pain, R Foot pain, Tachycardia, Wound eval",6
"Fever, Headache, NASAL SWELLING",6
S/P CHOLE,6
"Headache, EYE PRESSURE",6
"Atrial fibrillation, Syncope",6
"Abd pain, L Rib pain, s/p Fall, Syncope",6
NUMBNESS R WRIST,6
"DIARRHEA, WEIGHT LOSS",6
"Cellulitis, R Arm pain",6
"Headache, R Shoulder pain, s/p Fall",6
Infected graft,6
"Headache, Lightheaded, Dizziness",6
LEFT ARM LAC,6
"Pain, Decreased PO intake",6
PESSARY CHANGE,6
LEG CLOT,6
"Abscess, R ARM FX",6
BLEEDING FROM STOMA,6
?INCREASING CONFUSION,6
EAR SWELLING,6
LBP S/P UNWITNESSED FALL,6
"Rash, Nausea",6
HYPOXIA/COUGH,6
BLACK TARRY STOOL,6
FEVER S/P ENDOSCOPY,6
BUTTOCK REDNESS,6
S/P TRANSFUSION REACTION,6
PELVIC PAIN/PREG,6
"BREAST PAIN, FEVERS",6
HAND LACS,6
PAINFUL CYSTS,6
"Arm numbness, Leg numbness",6
SYNCOPE/FALLS,6
TONGUE LAC,6
"Abd pain, N/V, Epigastric pain",6
LEFT THIGH/HIP PAIN,6
"Fever, L Leg swelling, L Leg Redness",6
"Chills, Nausea, L Leg swelling",6
"Facial pain, Breast pain",6
"Rash, EDEMA",6
"HAND TINGLING, R Hip pain",6
"GERI PSYCH, NEURO EVAL",6
SCALP LESIONS,6
"Dyspnea, R Ear pain",6
"s/p Fall, + LOC",6
"LETHARGIC,HALLUCINATING",6
"Headache, Vision changes, Fever",6
MID EPIGASTRIC PAIN,6
LOWER EXTREM EDEMA,6
"Fever, L Leg numbness",6
"Presyncope, BRBPR",6
HYPERKALEAMIA,6
"Fever, Elevated wbc, Transfer",6
HEADACHE/SHOUDER PAIN,6
FALL DOWN STEPS,6
"LEG EDEMA ,RED/WARM",6
"Headache, Nausea, Presyncope, Weakness",6
R Arm fracture,6
"B Leg swelling, Myalgia, Visual changes, Weakness",6
"Hypothermia, Transfer",6
"Buttock pain, LIP TINGLING",6
"Abd pain, Hypotension, Tachycardia",6
"Chest pain, R Arm weakness",6
SEIZURE/NEURO EVAL/ ABD PAIN,6
 R  SIDE  ABD PAIN,6
? INFECTED FINGER,6
"Lethargy, Abnormal CT",6
"Transfer, Overdose",6
"SNEEZED UP SOME BLOOD, AXILLIARY LUMPS",6
ANXIETY/NEAR SYNCOPAL,6
HAND EVAL  ? INFECTION,6
"PICC line eval, Arm pain",6
BRB IN FOLEY,6
ILI COUGH /BODYACHES,6
"L Leg pain, Urinary retention",6
REPORT COMBATIVE,6
"Chest pain, Wheezing, Asthma exacerbation",6
"Nausea, Dizziness, Palpitations",6
Finger cellulitis,6
"R Weakness, Headache, DYSARTHRIA",6
HIGH SED RATE,6
RIGHT CLAVICULAR PAIN,6
"Fever, Substance use",6
BACK PAIN INCONTINENT,6
R SIDE PAIN S/P ASSAULT,6
"Flank pain, RUQ abdominal pain",6
?FOR ADMIT,6
"Head injury, L Shoulder injury, s/p Fall",6
"VISION LOSS, Visual changes",6
NAUSEA POST CARDIAC SURGERY,6
"Abd pain, ILI, Tachycardia",6
COLD SYMPTOMS X1MTH,6
"Flank pain, Fever, Dysuria",6
"B Pedal edema, Tachycardia",6
"Abd pain, Failure to thrive, Fever",6
"Back pain, L Leg pain, L Leg numbness",6
FEVERS TACHYCARDIA,6
"ANOREXIA, MALAISE",6
RAF/GI BLEED,6
R Ear foreign body,6
FOUND DOWN/BRUISES,6
SWOLLEN LE,6
"Cough, ETOH, Lower back pain",6
"s/p Fall, L Arm pain, L Facial pain",6
"Suicide attempt, Dizziness",6
"Med refill, Anxiety",6
RIGHT CHEST PAIN/ARTHALGIAS,6
"Chest pain, L Arm numbness, L Arm pain",6
TOOTHACHE/EARACHE,6
R Patella fracture,6
"Constipation, Pelvic pain",6
"Mouth pain, Pain",6
"Chest pain, Abnormal stress",6
NEEDS VASCULAR,6
"RIGHT LEG WEAKNESS, FALLING, LBP",6
FRONTAL LOBE MASS,6
R THUMB INFECTION,6
"Wound eval, Psychiatric hold",6
RLQ ABSCESS ON CT,6
WEAK LEGS ,6
"SYNCOPE, PREGNANT",6
I LL,6
"Anxiety, Constipation",6
"FEVER, BACK PAIN",6
"L Foot redness, L Foot pain",6
BACK HIP PAIN,6
"Dyspnea, Elevated D-dimer, R Leg pain",6
"POST OP, R Hand pain",6
"ILI, Vaginal bleeding",6
"Hypoxia, Productive cough",6
NECK PAIN/RIGHT ARM PAIN,6
"Neck pain, Tachypnea",6
R LQ PAIN,6
? NEW ONSET AFIB,6
"Psych eval, Psych eval",6
"BRBPR, Left sided abdominal pain",6
"Hypotension, Hyperglycemia",6
"MVC, Eye pain, HEAD PAIN",6
"Dehydration, Dizziness, Transfer",6
"Vaginal bleeding, Sore throat",6
?PARANYCHIA,6
CP/ HEAD PRESSURE,6
"Rash, NEUTROPENIA",6
RESISTANT UTI,6
LOSS OF VOICE,6
"Chills, Diarrhea",6
INTUBATED TRANSFER FROM ___,6
LGIB/ANEMIA,6
LOW SAT/S/P ASPIRATION,6
ALTERED MENTAL STATUS/HYPOTHERMIA,6
"Fever, Sore throat, Tongue swelling",6
VAGINAL BLEEDING PREGNANT,6
CHEST PAIN/VISUAL CHANGES,6
CLOGGEY FOLEY,6
"RLQ abdominal pain, L Testicular pain",6
"Abd pain, R/O BILIARY OBSTRUCTION",6
"Assault, SDH, Transfer",6
CHOLE TUBE CLOGGED,6
"N/V, FOLEY EVAL, Fever",6
GROWTH IN GROIN,6
"SI, Hallucinations, Back pain",6
"Abd pain, BRBPR, Fever",6
MELENA/UTI,6
"Assault, Back pain, Facial injury",6
LOSS OF BALANCE,6
"L Leg pain, HEAVINESS",6
"Back pain, R Breast pain",6
R SIDE RIB PAIN/CHEST,6
R LEG NUMBNESS/PAIN,6
"Abdominal distention, Cough, Dyspnea",6
"Dizziness, Fever, Headache",6
"Facial swelling, Cough",6
"Leg swelling, Urinary incontinence, Transfer",6
"Acute renal failure, Hypertension, Transfer",6
\R FINGER INFECTION,6
"Syncope, Chest pain, Bradycardia",6
CHEST PAIN YESTERDAY,6
S/P EPISODE OF VAGINAL BLEEDING,6
FACIAL  PAIN,6
NEEDS LP,6
"Dyspnea, Vomiting, N/V",6
"Hypertension, L Arm numbness, L Arm pain",6
PELVIC MASS,6
"Body pain, Visual changes",6
"Chest pain, s/p Fall, Weakness",6
"Weakness, GUIAC +",6
"Wound eval, ___",6
BLOCKED DRAIN,6
"Altered mental status, HYPOTHERMIC",6
"Abnormal CT, Dizziness, Unsteady gait, Transfer",6
ETOH/HOSTILE,6
"Dyspnea, DYSPHAGIA",6
"Hypoglycemia, CHEST DISCOMFORT",6
WORSENING PE,6
"Assault, Headache, Med refill",6
DYSPNEA PE,6
L FOOT WOUND,6
"Anxiety, Back pain, Depression",6
"Syncope, s/p Fall, Head injury",6
TRIP AND FALL-UNWITNESSED,6
R/O DENTAL ABSCESS,6
RIGHT THUMB INFECTION,6
LEFT SIDED FOOT PAIN,6
LEFT MIDDLE FINGER INJ,6
? SZ ,6
"FEVER,COUGH,POST OP",6
FACIAL DROOP/NUMBNESS,6
"SYNCOPE, ABDOMINAL DISCOMFORT",6
"R Ankle pain, R Leg pain",6
"Dyspnea, Abnormal xray",6
HA/ST,6
"Dyspnea, BRBPR, Hypoxia",6
"Nausea, Lethargy",6
RIGHT CALF SWELLING,6
SWOLLEN THROAT,6
CALF PAIN/CHEST TIGHTNESS,6
G TUBE BLEEDING,6
ABD PAIN/URINARY RETENTION,6
"R Hip pain, R Lower back pain",6
"Syncope, Hypoxia, Hypotension",6
"Hypertension, Melena",6
RECTAL BLEEDING S/P COLONOSCOPY,6
"Hematuria, UTI, Urinary retention",6
"R Elbow fracture, s/p Fall, Transfer",6
NEPHROSTOMY TUBES BLOCKED,6
"L Finger injury, Burn",6
L LEG/HIP PAIN,6
DECREASED UO ,6
"Dyspnea, BLE EDEMA",6
"Numbness, Hyperglycemia",6
ALLERGY SYMPTOMS,6
"Leg swelling, SI",6
"Diarrhea, L Arm pain, Palpitations",6
"s/p Fall, L Knee pain, L Ankle pain",6
"Elevated troponin, Transfer, Dyspnea",6
RIGHT FIRST DIGIT INJURY,6
"INTOXICATION, AGGRESSION",6
"S/P UNRESPONSIVE, Vtach",6
"LEFT ACHILLES PAIN, COUGH",6
POST OP WOUND DIHISCENSE,6
"Transfer, Rash",6
EKG CHANGES/CHF,6
ARM/LEGS REDNESS,6
"Abnormal xray, R Hand injury",6
"L Rib fracture, s/p Fall, Transfer",6
"L Hip pain, MVC",6
RIGHT BREAST LUMP,6
?L EYE CELLULITIS,6
"Chest pain, Abnormal labs, SHINGLES",6
"Hip pain, MVC",6
"NUMBNESS LEFT HAND, LEFT FACE",6
"""NERVOUS BREAKDOWN""",6
"SI ,ETOH",6
LABIAL LAC,6
FOUND ON FLOOR/ETOH,6
"Abnormal CT, Lower back pain",6
19 WEEKS GESTATION/CRAMPING AND SPOTTING,6
"GANGRENOUS TOES, NEW REDNESS",6
"NAUSEA, VOMITING, ABDOMINAL PAIN",6
SORES ON FACE,6
LEFT CALF PAIN R/O DVT,6
LEFT MIDDLE FINGER PAIN/SWELLING,6
"DIZZINESS, LEFT ARM TINGLY",6
"Abnormal ultrasound, LLQ abdominal pain, Vaginal bleeding",6
CAT BITES,6
RUE REDNESS,6
"Facial numbness, Facial pain",6
RIGHT AXILLA REDNESS/SWELLING,6
BILTAERAL LE EDEME,6
"L Arm numbness, THROAT TIGHTNESS",6
SORE THROAT HEADACHE,6
"RLQ abdominal pain, RLQ abdominal pain",6
"Dizziness, Vomiting, R Ear pain",6
R/O CONJUNCTIVITIS,6
RIGHT FOOT WOUND EVAL,6
"L Hand numbness, Neck pain",6
FEVER W/ +INFLUENZA CONTACT,6
"SI, Delusions",6
"Altered mental status, UNRESPONSIVENESS",6
SKIN ISSUE,6
"SORES, SKIN EVAL",6
CONFUSION/TROUBLE SWALLOWING,6
"Anxiety, Depression, Headache",6
"LETHARGY,?SEPSIS",6
"Diarrhea, R Arm pain",6
"Anxiety, Sore throat",6
"Jaw pain, B Leg swelling",6
"Abnormal CT, L Weakness",6
"Altered mental status, Hypotension, Seizure",6
HI/PARANOID,6
SELF INFLICTED CUTS TO ARMS,6
"Dental pain, Syncope",6
NUMBNESS/TINGLING OF ARMS,6
"L Thumb injury, Wound eval",6
"Wound eval, MUSCLE SPASMS",6
"Fever, COUGH DYSURIA, ILI",6
"R Ankle pain, R Foot pain, s/p Fall",6
"R Hand pain, SI",6
"L Arm pain, L Arm swelling, s/p Fall",6
"Back pain, Urinary incontinence, Fecal incontinence",6
FX TOE,6
"s/p Fall, Laceration, Head lac",6
FATIGUE ,6
"Leg pain, Chills, Dyspnea",6
"Rash, L Leg pain",6
"Abnormal labs, Rash, Transfer",6
"L Breast pain, Leg pain",6
"R Eye swelling, R Hand Redness",6
CATHETER EVAL ,6
"Abd pain, TORSION",6
"Transfer, Vaginal pain",6
"Body pain, Dyspnea on exertion",6
"Nausea, Dizziness, Constipation",6
BUG BITES???,6
NEEDS PICC EVAL,6
"B Leg swelling, Testicular pain",6
DISSOCIATIVE IDENITY DISORDER,6
"R Flank pain, Abnormal ultrasound",6
10 FALLS TODAY,6
"R Weakness, Pregnant",6
DYSPNEA S/P BRONCHOSCOPY,6
POSSIBLE MED REACTION,6
"Lower abdominal pain, OVARIAN TORSION",6
"Transfer, OVARIAN TORSION",6
"GI bleed, Syncope",6
"Nausea, R Knee pain",6
"Syncope, Tachycardia",6
"Dizziness, Fatigue, Dyspnea",6
"RLQ abdominal pain, Constipation, Diarrhea",6
"Presyncope, RUQ abdominal pain",6
"Transfer, Abnormal CT, Visual changes",6
"FEVER, CHEST PAIN, BACK PAIN",6
ETOH FALL,6
"Headache, L Neck pain, s/p Fall",6
"Leg swelling, Fever",6
"Abd pain, Fever, n/v/d, Transfer",6
"s/p Fall, Sternal fracture, Transfer",6
"Cough, Lethargy, Weakness",6
"Kidney stone, L Flank pain, LLQ abdominal pain, Transfer",6
"Headache, N/V, Upper abdominal pain",6
"Seizure, Tachypnea",6
WEAK/LIGHTHEADED,6
R  THIGH  CELLULITIS,6
WIC REMOVAL,6
"Abd pain, Vomiting, Weakness",6
? WITHDRAWEL/KLONIPIN,6
SUNBURN,6
"L Hip pain, Hip fracture",6
"Pleuritic chest pain, Tachycardia",6
"Fever, SICKLE CELL",6
BURN/RAN OUT OF MEDS,6
BIL LEG SWELLING/RASH,6
"ANXIOUS,JITTERY",6
R GROIN PAIN ,6
"Palpitations, Hypertension, Nausea",6
PRESYNCOPY,6
"L Arm numbness, Jaw pain, L Chest pain",6
LEG SWELLING/REDNESS,6
LEFT EAR SWELLING,6
"Chest pain, Palpitations, N/V",6
"Abd pain, Hyperglycemia, Transfer",6
"s/p Fall, Headache, Dental pain",6
"PREGNANT, ABD PAIN",6
"Ped struck, Back pain",6
"Wound eval, R Foot swelling",6
"Chest pain, NON MED COMPLIANCE",6
"Sore throat, POST OP",6
?STEMI,6
ASSAULT-BRUISES,6
COUGH /ILI,6
GROIN AND BACK PAIN,6
"Hyperglycemia, RUQ abdominal pain, Nausea",6
"ETOH, Facial droop, Found down",6
"Hypertension, Jaw pain",6
"Abscess, Abscess",6
REQESTING EVAL,6
"Neck pain, Rib pain",6
ABSCESS RIGHT ABD,6
"L 3RD FINGER PAIN, SWELLING",6
"ABD PAIN,DISTENSION",6
"Med refill, R Elbow pain",6
"RLQ PAIN,",6
NEEDS GI EVAL,6
RECTAL PROBLEM,6
ABDOMINAL PAIN/HEMATURIA,6
L  FLANK   PAIN /NAUSEA,6
"Chest pain, Dizziness, Neck pain, s/p Fall",6
"Abnormal labs, Fever, SI",6
"Constipation, Dysuria",6
"Diarrhea, Dysuria, Fever",6
RIGHT INDEX FINGER INFECTION,6
LEFT SHOULDER AND LEFT KNEE PAIN,6
TUBE DISLODGED,6
"Rash, Fever, ILI",6
"Epigastric pain, Nausea, Shoulder pain",6
"Palpitations, NEW A. FIB",6
"LEG EDEMA,SOB",6
"R Leg pain, R Ankle swelling",6
"Syncope, NSTEMI",6
"Epistaxis, L Arm pain",6
RIGHT UPPER TOOTH/EYE PAIN,6
"MVC, Back pain, L Ankle pain",6
"Detox, Flank pain",6
FEVER/ COLD SYMPTOMS,6
BURNING ON URINATION,6
"WHEEZY,SOB",6
EAR BLEEDING,6
"Chest pain, R Leg cellulitis",6
"Headache, Nausea, Tinnitus",6
FEVER/URINARY FREQ,6
R THUMB LAC,6
"Fever, Chest pain, Hemoptysis",6
LEFT EYE DIPLOPIA,6
TUBE SITE EVAL,6
ELEVATED B/P,6
"Penile pain, Urinary frequency",6
"Abscess, R Arm pain",6
L ARM PAIN ,6
"L Headache, MVC",6
EXAS COPD,6
"L Leg cellulitis, Leg pain, R Leg cellulitis",6
"Bone pain, R Leg pain",6
"Leg swelling, Anemia",6
LEFT INDEX FINGER SWELLING,6
LEFT LEG PARESTHESIA,6
RIGHT AXILLA ABSCESS,6
"L Rib pain, Dyspnea",6
"Assault, Slurred speech",6
"Abd pain, Tongue swelling, Transfer",6
"SI, Detox, ETOH",6
"L Hand injury, ETOH",6
BLEEDING COLOSTOMY/HCT 26,6
"Anxiety, Difficulty swallowing",6
"Anorexia, Nausea, Dehydration",6
BLEEDING ABD WOUND,6
Foot redness,6
"? NEW SZ ACTIVITY, R ARM WEAKNESS",6
"Allergic reaction, Angioedema, Transfer",6
MECH FALL,6
"Abd pain, BMT",6
"Back pain, L Ear pain",6
"Asthma exacerbation, N/V",6
DIZZIENESS/ VOMITING,6
CROHN'S FLARE ,6
RIGHT SHIN CELLULITIS,6
R FOOT SWELLING/DISCOLORATION,6
"Asthma exacerbation, Neck pain",6
"Dyspnea, Chest pain, Atrial fibrillation",6
N/V  ABD PAIN,6
LIGHTHEADED/PALPITATIONS,6
"EYE PAIN, SHINGLES",6
"Hiccups, ETOH",6
"Failure to thrive, Melena",6
TREMULOUS,6
ORTHOSTATIC/DEHYDRATION,6
"Melena, ILI",6
"ETOH, Facial numbness",6
"L Hand pain, R Foot pain",6
"Headache, ILI, Nausea",6
"RIGHT LEG NUMBNESS, RIGHT FOOT COLD",6
"Weakness, Fever, Anemia, Abd pain",6
"Jaundice, LLQ abdominal pain",6
FOREHEAD SWELLING,6
"Unable to ambulate, L Shoulder pain, ETOH",6
"Cough, ILI, Myalgia",6
"L Knee swelling, Leg pain",6
"CP, Palpitations",6
FEEDING TUBE LEAKING,6
"Vomiting, Chest pain, Flank pain",6
INTERMITTANT HA/DIZZINESS X MONTHS,6
Eye foreign body sensation,6
INTUBATED SEIZURE,6
"L Weakness, Confusion, Chest pain",6
"Seizure, L Shoulder pain",6
R SIDED FACIAL PAIN,6
FACIAL SWELLING ECCHYMOSIS FALL,6
"WEAKNESS,FATIGUE",6
SPOTS ON SKIN,6
"Chest pain, Dyspnea on exertion, Elevated D-dimer",6
LEFT WRIST ERYTHEMA,6
"DKA, Vaginal pain, Transfer",6
MECHANICAL FALL UNWITNESSED,6
ANOREXIA/HYPOTENSION,6
"Fever, Vomiting, Lethargy",6
"Fever, Back pain, Lower abdominal pain",6
S/P L.P  BACK PAIN,6
VOMITING/?SYNCOPE,6
"R Shoulder pain, Back pain, Abd pain",6
L A/V FISTULA FAILURE,6
"EPIGASTRIC PAIN, PREGNANT",6
"R Hand pain, R Hand injury, R Numbness, R Hand pain, R Hand injury, R Numbness",6
"Arm numbness, Dizziness",6
ALETERED MS,6
"Rash, R Leg swelling",6
LEFT AXILLARY ABSCESS,6
"R Leg numbness, s/p Fall",6
TREMORS AND WEAKNESS,6
"Head injury, Vomiting",6
RASH R ARM,6
RIGHT FLANK PAIN/N/V,6
MUSCLE STRAIN,6
"Dyspnea on exertion, Nausea, Weakness",6
"s/p Fall, R Thigh pain",6
"Fever, Pneumonia, Abd pain",6
L HIP PAIN/FX,6
"s/p Fall, L Wrist injury, Head injury",6
"Assault, Head injury, L Leg pain, L Shoulder pain",6
"LUQ abd pain, Pregnant",6
"L Leg swelling, L Wrist pain",6
"Hand pain, L Arm pain",6
"VOMITING/DIARRHEA,COUGH",6
"Bicycle accident, L Elbow pain",6
"Asthma exacerbation, Cough, ILI",6
"Weakness, Jaundice, Abnormal labs",6
R  KNEE  PAIN,6
"Hypertension, Dyspnea, Headache",6
INSTEP PAIN,6
"Dizziness, Dyspnea, Upper back pain",6
"SI, L Ankle pain",6
"Lower back pain, R/OSCABIES",6
"Rash, CHEST TIGHNESS",6
TOE NECROSIS,6
"HA, S/P MVC",6
"Facial swelling, Sunburn",6
"Dizziness, NEUROSURG CONSULT",6
"Fever, Altered mental status, Rash",6
"Abnormal labs, Hypotension, Lethargy",6
left hand eval,6
LEFT SIDED HEMIPARESIS,6
"Fever, LLE PAIN",6
MVC/H/A,6
"s/p Fall, Back pain, Transfer",6
BRUISIG/BLOOD IN STOOL,6
"Psych, Confusion",6
"Cough, Confusion",6
"UPPER LIP LAC, S/P SZ",6
"Dizziness, Headache, Vision changes",6
"Rash, L Facial swelling",6
"L Lower back pain, N/V",6
"Dog bite, Lip laceration",6
"Toe pain, SWELLING",6
"Finger laceration, Periumbilical pain",6
"Diarrhea, Elevated wbc",6
"Shoulder pain, Slurred speech",6
"Urinary retention, UTI, Transfer",6
LEFT BREAST ABSCESS,6
"Back pain, L Flank pain, R Leg pain",6
RIGHT EAR PAIN/ABCESS,6
"Headache, BODYACHES",6
"Anorexia, Malaise",6
"B Leg numbness, Dyspnea",6
CELLULITIS LEFT HAND,6
"Rash, Urinary frequency",6
R ANKLE  PAIN,6
"Nausea, L Weakness, Chest pain, Dyspnea",6
"ETOH, s/p Fall, Vomiting",6
"Cough, Headache, Nausea",6
detox/depression,6
MED CLEARENCE FOR DETOX AT ___,6
"MVC, L Leg pain",6
"Back pain, Dyspnea, Hypoxia",6
"Dyspnea, Facial droop, Lethargy",6
"FRONTAL LOBE MASS, Transfer",6
"Presyncope, Jaundice",6
DIARRHEA/?DEHYDRATION,6
DIALYSIS,6
HCT 20,6
"L Ankle swelling, Pregnant",6
"Vaginal pain, Rectal pain",6
"Weakness, Pancreatitis",6
WITNESSED SZ,6
STEPPED ON NAIL,6
"Hemodialysis, TUNNELED CATHETER DISLODGED",6
DYSURIA/BACK PAIN,6
"Confusion, Cough, Dyspnea on exertion",6
SCROTAL PAIN/NAUSEA,6
"Rash, Neck pain",6
"Pelvic pain, Vaginal pain",6
"ILI, Positive blood cultures",6
CATHETER INFECTION,6
"Asthma exacerbation, Ear pain",6
LEFT SHOULDER DEFORMITY,6
"Confusion, Altered mental status, Jaundice",6
"Pneumonia, s/p Fall, Transfer",6
RT CALF PAIN,6
CONFUSION/ABNL LABS,6
ATTEMPTED HANGING,6
MIGRAINES HA,6
NEEDS NOTE,6
R/O  STD,6
"Hyperkalemia, Hypotension",6
RIGHT SIDED NECK BLEEDING,6
ETOH/AGITATION,6
"PALPITATIONS, DIAPHORESIS",6
"L Leg pain, Anemia",6
"ETOH WITHDRAWAL, Transfer",6
"BUTTOCK, LEG PAIN",6
PREGNANCY EVAL,6
ICD FIRE X2,6
"Abdominal distention, Abd pain, Ascites",6
"Dehydration, Nausea, Rash",6
"Dyspnea, Hypokalemia, Palpitations",6
"Syncope, s/p Fall, Neck pain",6
BILAT PE,6
"BILATERAL LEG SWELLING, REDNESS",6
"Fecal incontinence, L Leg numbness",6
"Anxiety, Chest pain, Substance use",6
"Back pain, Decreased PO intake, R Ear pain",6
"Abnormal labs, Chest pain, Lightheaded",6
LOW BACKPAIN,6
BITES TO ARM AND LEG,6
"Detox, Productive cough",6
"Dyspnea, MALAISE",6
ABD PAIN/FATIGUE,6
Diverticulitis,6
DIZZY/DYSPNEA,6
"Lower back pain, R Back pain",6
"Body aches, Neck pain",6
"COUGH, FATIGUE",6
SI/ SELF HARM,6
RIGHT SIDE NUMBNESS RESOLVED,6
FEEDING TUBE ABCESS,6
"Chest pain, L Leg pain, LETHARGY",6
"Abd pain, R Flank pain, s/p Fall",6
RT HAND INFECTION,6
CP RADIATING TO BACK,6
"L Ankle injury, Syncope",6
"Lower back pain, PELVIC PAIN",6
NEEDS IV VANCO,6
"SI, Pregnant",6
"Hematuria, N/V",6
"Left sided chest pain, NEEDS ECHO",6
"Asthma exacerbation, LOW SAT",6
"ICD eval, Chest wall pain",6
"N/V, Dizziness, ILI",6
"Fever, Dyspnea, ILI",6
RIGHT SHOULDER PAIN/CHEST PAIN,6
LEG PAIN/WEAKNESS,6
"Fever, Headache, Lethargy",6
"Pregnant, Dyspnea on exertion, Nausea",6
"Confusion, Unsteady gait, s/p Fall",6
"Anxiety, B Leg numbness, Back pain",6
"s/p Fall, Rib pain, Transfer",6
VAG ITCH,6
LACERATION TO KNEE,6
"Agitation, Hyperglycemia",6
BLURRED VISION/H/A,6
"LEFT TOOTH, Ear pain",6
PAIN/?SOB,6
"L Rib fracture, s/p Fall",6
LEFT LEG PAIN.,6
IV REMOVAL,6
"Cough, Fever, RLQ abdominal pain",6
BLOOD IN NEPHROSTOMY,6
BLEEDING FROM SURGICAL SITE,6
"L Hand injury, R Foot injury",6
SLOW HR,6
"Jaw pain, Unable to ambulate",6
"Depression, Detox",6
"Abdominal distention, Palpitations, N/V",6
HEAD INJ AFTER SKIING,6
R Heel ulcer,6
DRUG INTERACTION,6
GALLBLADDER ATTACK,6
"Cough, NIGHTSWEATS",6
FOOT DROP/FALLS/UNINTENTIONAL WT LOSS,6
"Neck swelling, Nausea",6
"ILI, Confusion, Syncope",6
"N/V, Nausea, Dehydration",6
R FOOT SWELLING AND PAIN,6
"Dysuria, Hematuria, RLQ abdominal pain",6
"R Calf pain, COLD R FOOT",6
LEFT EAR BUZZING,6
"Dental pain, Difficulty swallowing",6
"Coffee ground emesis, Hematemesis, Hypotension",6
"R Hand Redness, R Hand swelling",6
"___, Psych, Paranoid delusion",6
"Chest pain, Dyspnea, Unable to ambulate",6
HEPATIC ABCESSES,6
"VERTIGO, HEADACHE",6
"C1 fracture, C2 fx, s/p Fall",6
"PREGNANT, VAG BLEEDING",6
CHEST PRESSURE SOB,6
"Transfer, Hypoxia, SEPTIC",6
LEFT MIDDLE FINGER LAC,6
"SWALLOWED FISH BONE, Sore throat",6
"DIAHRREA, ABD PAIN",6
"SOB, EPIGASTRIC PAIN",6
NEEDS XRAY,6
FALL HEAD  STRIKE,6
"Headache, Wound eval, Head injury",6
"s/p Fall, L EYE LAC",6
ILI/HA,6
RIGHT FOOT CELLULITUS,6
"Abscess, Dyspnea",6
